payment_id,tenant_id,property_id,due_date,pay_date,amount_due,amount_paid,late_fee,payment_status,payment_method
PAY000001,T0001,P045,2023-08-01,2023-08-02,2020.0,2020.0,0,on_time,money_order
PAY000002,T0001,P045,2023-09-01,2023-09-04,2020.0,2020.0,0,on_time,ACH
PAY000003,T0001,P045,2023-10-01,2023-10-21,2020.0,2020.0,101.0,late,ACH
PAY000004,T0001,P045,2023-11-01,2023-11-13,2020.0,2020.0,101.0,late,check
PAY000005,T0001,P045,2023-12-01,2023-12-03,2020.0,2020.0,0,on_time,credit_card
PAY000006,T0001,P045,2024-01-01,2024-01-02,2020.0,2020.0,0,on_time,check
PAY000007,T0001,P045,2024-02-01,2024-02-02,2020.0,2020.0,0,on_time,check
PAY000008,T0001,P045,2024-03-01,2024-03-04,2020.0,2020.0,0,on_time,ACH
PAY000009,T0001,P045,2024-04-01,2024-04-01,2020.0,2020.0,0,on_time,check
PAY000010,T0001,P045,2024-05-01,2024-05-03,2020.0,2020.0,0,on_time,check
PAY000011,T0001,P045,2024-06-01,2024-06-04,2020.0,2020.0,0,on_time,credit_card
PAY000012,T0001,P045,2024-07-01,2024-07-02,2020.0,2020.0,0,on_time,check
PAY000013,T0002,P021,2024-09-01,2024-09-04,1200.0,1200.0,0,on_time,ACH
PAY000014,T0002,P021,2024-10-01,2024-10-01,1200.0,1200.0,0,on_time,credit_card
PAY000015,T0002,P021,2024-11-01,2024-11-03,1200.0,1200.0,0,on_time,ACH
PAY000016,T0002,P021,2024-12-01,2024-12-02,1200.0,1200.0,0,on_time,ACH
PAY000017,T0002,P021,2025-01-01,2025-01-03,1200.0,1200.0,0,on_time,ACH
PAY000018,T0002,P021,2025-02-01,2025-02-04,1200.0,1200.0,0,on_time,ACH
PAY000019,T0002,P021,2025-03-01,2025-03-03,1200.0,1200.0,0,on_time,check
PAY000020,T0003,P040,2023-03-01,2023-03-04,2340.0,2340.0,0,on_time,check
PAY000021,T0003,P040,2023-04-01,2023-04-04,2340.0,2340.0,0,on_time,ACH
PAY000022,T0003,P040,2023-05-01,2023-05-03,2340.0,2340.0,0,on_time,ACH
PAY000023,T0003,P040,2023-06-01,2023-06-01,2340.0,2340.0,0,on_time,ACH
PAY000024,T0003,P040,2023-07-01,2023-07-01,2340.0,2340.0,0,on_time,credit_card
PAY000025,T0003,P040,2023-08-01,2023-08-04,2340.0,2340.0,0,on_time,check
PAY000026,T0003,P040,2023-09-01,2023-09-03,2340.0,2340.0,0,on_time,check
PAY000027,T0003,P040,2023-10-01,2023-10-07,2340.0,2340.0,117.0,late,ACH
PAY000028,T0003,P040,2023-11-01,2023-11-03,2340.0,2340.0,0,on_time,credit_card
PAY000029,T0003,P040,2023-12-01,2023-12-19,2340.0,2340.0,117.0,late,ACH
PAY000030,T0003,P040,2024-01-01,2024-01-03,2340.0,2340.0,0,on_time,ACH
PAY000031,T0003,P040,2024-02-01,2024-02-01,2340.0,2340.0,0,on_time,check
PAY000032,T0004,P035,2023-07-01,2023-07-04,4200.0,4200.0,0,on_time,money_order
PAY000033,T0004,P035,2023-08-01,2023-08-17,4200.0,4200.0,210.0,late,ACH
PAY000034,T0004,P035,2023-09-01,2023-09-02,4200.0,4200.0,0,on_time,ACH
PAY000035,T0004,P035,2023-10-01,2023-10-16,4200.0,4200.0,210.0,late,check
PAY000036,T0004,P035,2023-11-01,2023-11-18,4200.0,4200.0,210.0,late,check
PAY000037,T0004,P035,2023-12-01,2023-12-03,4200.0,4200.0,0,on_time,ACH
PAY000038,T0004,P035,2024-01-01,,4200.0,0,420.0,missed,
PAY000039,T0004,P035,2024-02-01,2024-02-18,4200.0,4200.0,210.0,late,ACH
PAY000040,T0004,P035,2024-03-01,2024-03-12,4200.0,4200.0,210.0,late,ACH
PAY000041,T0004,P035,2024-04-01,2024-04-02,4200.0,4200.0,0,on_time,credit_card
PAY000042,T0004,P035,2024-05-01,2024-05-13,4200.0,4200.0,210.0,late,credit_card
PAY000043,T0004,P035,2024-06-01,2024-06-18,4200.0,4200.0,210.0,late,ACH
PAY000044,T0005,P036,2024-11-01,2024-11-02,11600.0,11600.0,0,on_time,credit_card
PAY000045,T0005,P036,2024-12-01,2024-12-01,11600.0,11600.0,0,on_time,ACH
PAY000046,T0005,P036,2025-01-01,2025-01-02,11600.0,11600.0,0,on_time,ACH
PAY000047,T0005,P036,2025-02-01,,11600.0,0,1160.0,missed,
PAY000048,T0005,P036,2025-03-01,2025-03-02,11600.0,11600.0,0,on_time,ACH
PAY000049,T0005,P036,2025-04-01,2025-04-04,11600.0,11600.0,0,on_time,ACH
PAY000050,T0005,P036,2025-05-01,2025-05-04,11600.0,11600.0,0,on_time,credit_card
PAY000051,T0005,P036,2025-06-01,2025-06-01,11600.0,11600.0,0,on_time,check
PAY000052,T0006,P038,2022-10-01,2022-10-02,1760.0,1760.0,0,on_time,ACH
PAY000053,T0006,P038,2022-11-01,2022-11-02,1760.0,1760.0,0,on_time,credit_card
PAY000054,T0006,P038,2022-12-01,2022-12-01,1760.0,1760.0,0,on_time,check
PAY000055,T0006,P038,2023-01-01,2023-01-03,1760.0,1760.0,0,on_time,ACH
PAY000056,T0006,P038,2023-02-01,2023-02-01,1760.0,1760.0,0,on_time,ACH
PAY000057,T0006,P038,2023-03-01,2023-03-02,1760.0,1760.0,0,on_time,ACH
PAY000058,T0006,P038,2023-04-01,2023-04-03,1760.0,1760.0,0,on_time,ACH
PAY000059,T0006,P038,2023-05-01,2023-05-02,1760.0,1760.0,0,on_time,ACH
PAY000060,T0006,P038,2023-06-01,2023-06-03,1760.0,1760.0,0,on_time,ACH
PAY000061,T0006,P038,2023-07-01,2023-07-04,1760.0,1760.0,0,on_time,ACH
PAY000062,T0006,P038,2023-08-01,2023-08-04,1760.0,1760.0,0,on_time,ACH
PAY000063,T0006,P038,2023-09-01,2023-09-03,1760.0,1760.0,0,on_time,ACH
PAY000064,T0007,P029,2024-07-01,2024-07-02,1640.0,1640.0,0,on_time,check
PAY000065,T0007,P029,2024-08-01,2024-08-03,1640.0,1640.0,0,on_time,check
PAY000066,T0007,P029,2024-09-01,2024-09-03,1640.0,1640.0,0,on_time,ACH
PAY000067,T0007,P029,2024-10-01,2024-10-04,1640.0,1640.0,0,on_time,check
PAY000068,T0007,P029,2024-11-01,2024-11-02,1640.0,1640.0,0,on_time,ACH
PAY000069,T0007,P029,2024-12-01,2024-12-02,1640.0,1640.0,0,on_time,ACH
PAY000070,T0007,P029,2025-01-01,2025-01-04,1640.0,1640.0,0,on_time,ACH
PAY000071,T0007,P029,2025-02-01,2025-02-01,1640.0,1640.0,0,on_time,ACH
PAY000072,T0007,P029,2025-03-01,2025-03-01,1640.0,1640.0,0,on_time,credit_card
PAY000073,T0007,P029,2025-04-01,2025-04-03,1640.0,1640.0,0,on_time,ACH
PAY000074,T0007,P029,2025-05-01,2025-05-10,1640.0,1640.0,82.0,late,check
PAY000075,T0007,P029,2025-06-01,2025-06-17,1640.0,1640.0,82.0,late,ACH
PAY000076,T0008,P007,2023-08-01,2023-08-03,2760.0,2760.0,0,on_time,check
PAY000077,T0008,P007,2023-09-01,2023-09-04,2760.0,2760.0,0,on_time,credit_card
PAY000078,T0008,P007,2023-10-01,2023-10-04,2760.0,2760.0,0,on_time,money_order
PAY000079,T0008,P007,2023-11-01,2023-11-03,2760.0,2760.0,0,on_time,check
PAY000080,T0008,P007,2023-12-01,2023-12-03,2760.0,2760.0,0,on_time,credit_card
PAY000081,T0008,P007,2024-01-01,2024-01-02,2760.0,2760.0,0,on_time,check
PAY000082,T0008,P007,2024-02-01,2024-02-04,2760.0,2760.0,0,on_time,check
PAY000083,T0008,P007,2024-03-01,2024-03-01,2760.0,2760.0,0,on_time,money_order
PAY000084,T0008,P007,2024-04-01,2024-04-04,2760.0,2760.0,0,on_time,ACH
PAY000085,T0008,P007,2024-05-01,2024-05-04,2760.0,2760.0,0,on_time,ACH
PAY000086,T0008,P007,2024-06-01,2024-06-02,2760.0,2760.0,0,on_time,ACH
PAY000087,T0008,P007,2024-07-01,2024-07-04,2760.0,2760.0,0,on_time,ACH
PAY000088,T0009,P009,2022-06-01,2022-06-04,1260.0,1260.0,0,on_time,ACH
PAY000089,T0009,P009,2022-07-01,2022-07-01,1260.0,1260.0,0,on_time,ACH
PAY000090,T0009,P009,2022-08-01,2022-08-02,1260.0,1260.0,0,on_time,check
PAY000091,T0009,P009,2022-09-01,2022-09-01,1260.0,1260.0,0,on_time,credit_card
PAY000092,T0009,P009,2022-10-01,2022-10-01,1260.0,1260.0,0,on_time,check
PAY000093,T0009,P009,2022-11-01,2022-11-01,1260.0,1260.0,0,on_time,credit_card
PAY000094,T0009,P009,2022-12-01,2022-12-03,1260.0,1260.0,0,on_time,check
PAY000095,T0009,P009,2023-01-01,2023-01-03,1260.0,1260.0,0,on_time,check
PAY000096,T0009,P009,2023-02-01,2023-02-03,1260.0,1260.0,0,on_time,check
PAY000097,T0009,P009,2023-03-01,2023-03-02,1260.0,1260.0,0,on_time,ACH
